W,19:21:52.000,19:22:26.000
W,19:22:38.000,19:23:16.000
W,19:23:25.000,19:23:35.000
W,19:23:30.000,19:23:41.000
W,19:23:52.000,19:24:00.000
W,19:23:57.000,19:24:07.000
W,19:24:03.000,19:24:11.000
W,19:24:06.000,19:25:56.000
W,19:26:04.000,19:26:48.000
W,19:17:35.000,19:17:43.000
W,19:26:51.000,19:27:17.000
W,19:27:18.000,19:27:31.000
W,19:27:53.000,19:28:02.000
W,19:28:04.000,19:28:49.000
W,19:29:18.000,19:29:43.000
W,19:30:08.000,19:30:17.000
W,19:30:18.000,19:30:30.000
W,19:30:25.000,19:30:33.000
W,19:30:30.000,19:30:46.000
W,19:30:40.000,19:31:15.000
W,19:31:37.000,19:18:09.000
W,19:31:52.000,19:32:05.000
W,19:33:06.000,19:33:31.000
W,19:33:40.000,19:33:48.000
W,19:34:01.000,19:34:35.000
W,19:34:29.000,19:34:39.000
W,19:34:48.000,19:35:33.000
W,19:18:28.000,19:18:48.000
W,19:37:02.000,19:37:10.000
W,19:37:18.000,19:37:28.000
W,19:37:32.000,19:37:40.000
W,19:37:38.000,19:38:00.000
W,19:38:09.000,19:38:17.000
W,19:39:02.000,19:39:11.000
W,19:39:08.000,19:39:17.000
W,19:39:26.000,19:39:36.000
W,19:39:50.000,19:39:59.000
W,19:40:10.000,19:40:18.000
W,19:40:39.000,19:40:47.000
W,19:41:32.000,19:41:40.000
W,19:41:38.000,19:19:03.000
W,19:18:57.000,19:19:18.000
W,19:41:55.000,19:42:03.000
W,19:42:09.000,19:42:18.000
W,19:43:00.000,19:43:09.000
W,19:43:06.000,19:43:18.000
W,19:43:31.000,19:43:40.000
W,19:44:29.000,19:44:37.000
W,19:44:54.000,19:45:09.000
W,19:45:52.000,19:46:00.000
W,19:46:03.000,19:46:15.000
W,19:46:09.000,19:46:18.000
W,19:46:23.000,19:46:34.000
W,19:46:37.000,19:46:45.000
W,19:19:23.000,19:19:33.000
W,19:46:56.000,19:47:05.000
W,19:47:10.000,19:47:27.000
W,19:19:53.000,19:20:41.000
W,19:20:38.000,19:20:48.000
W,19:21:06.000,19:21:18.000
W,19:21:20.000,19:21:48.000
